Scanning 127.0.0.1 from port 1 to 65535...
Resolved IP: 127.0.0.1
Port 659: Closed
Port 660: Closed
Port 661: Closed
Port 662: Closed
Port 663: Closed
Port 664: Closed
Port 665: Closed
Port 666: Closed
Port 667: Closed
Port 668: Closed
Port 669: Closed
Port 670: Closed
Port 671: Closed
Port 672: Closed
Port 673: Closed
Port 674: Closed
Port 675: Closed
Port 676: Closed
Port 677: Closed
Port 678: Closed
Port 679: Closed
Port 680: Closed
Port 681: Closed
Port 682: Closed
Port 683: Closed
Port 684: Closed
Port 685: Closed
Port 686: Closed
Port 687: Closed
Port 688: Closed
Port 689: Closed
Port 690: Closed
Port 691: Closed
Port 692: Closed
Port 693: Closed
Port 694: Closed
Port 695: Closed
Port 696: Closed
Port 697: Closed
Port 698: Closed
Port 699: Closed
Port 700: Closed
Port 701: Closed
Port 702: Closed
Port 703: Closed
Port 704: Closed
Port 705: Closed
Port 706: Closed
Port 707: Closed
Port 708: Closed
Port 709: Closed
Port 710: Closed
Port 711: Closed
Port 712: Closed
Port 713: Closed
Port 714: Closed
Port 715: Closed
Port 716: Closed
Port 717: Closed
Port 718: Closed
Port 719: Closed
Port 720: Closed
Port 721: Closed
Port 722: Closed
Port 723: Closed
Port 724: Closed
Port 725: Closed
Port 726: Closed
Port 727: Closed
Port 728: Closed
Port 729: Closed
Port 730: Closed
Port 731: Closed
Port 732: Closed
Port 733: Closed
Port 734: Closed
Port 735: Closed
Port 736: Closed
Port 737: Closed
Port 738: Closed
Port 739: Closed
Port 740: Closed
Port 741: Closed
Port 742: Closed
Port 743: Closed
Port 744: Closed
Port 745: Closed
Port 746: Closed
Port 747: Closed
Port 748: Closed
Port 749: Closed
Port 750: Closed
Port 751: Closed
Port 752: Closed
Port 753: Closed
Port 754: Closed
Port 755: Closed
Port 756: Closed
Port 757: Closed
Port 758: Closed
Port 759: Closed
Port 760: Closed
Port 761: Closed
Port 762: Closed
Port 763: Closed
Port 764: Closed
Port 765: Closed
Port 766: Closed
Port 767: Closed
Port 768: Closed
Port 769: Closed
Port 770: Closed
Port 771: Closed
Port 772: Closed
Port 773: Closed
Port 774: Closed
Port 775: Closed
Port 776: Closed
Port 777: Closed
Port 778: Closed
Port 779: Closed
Port 780: Closed
Port 781: Closed
Port 782: Closed
Port 783: Closed
Port 784: Closed
Port 785: Closed
Port 786: Closed
Port 787: Closed
Port 788: Closed
Port 789: Closed
Port 790: Closed
Port 791: Closed
Port 792: Closed
Port 793: Closed
Port 794: Closed
Port 795: Closed
Port 796: Closed
Port 797: Closed
Port 798: Closed
Port 799: Closed
Port 800: Closed
Port 801: Closed
Port 802: Closed
Port 803: Closed
Port 804: Closed
Port 805: Closed
Port 806: Closed
Port 807: Closed
Port 808: Closed
Port 809: Closed
Port 810: Closed
Port 811: Closed
Port 812: Closed
Port 813: Closed
Port 814: Closed
Port 815: Closed
Port 816: Closed
Port 817: Closed
Port 818: Closed
Port 819: Closed
Port 820: Closed
Port 821: Closed
Port 822: Closed
Port 823: Closed
Port 824: Closed
Port 825: Closed
Port 826: Closed
Port 827: Closed
Port 828: Closed
Port 829: Closed
Port 830: Closed
Port 831: Closed
Port 832: Closed
Port 833: Closed
Port 834: Closed
Port 835: Closed
Port 836: Closed
Port 837: Closed
Port 838: Closed
Port 839: Closed
Port 840: Closed
Port 841: Closed
Port 842: Closed
Port 843: Closed
Port 844: Closed
Port 845: Closed
Port 846: Closed
Port 847: Closed
Port 848: Closed
Port 849: Closed
Port 850: Closed
Port 851: Closed
Port 852: Closed
Port 853: Closed
Port 854: Closed
Port 855: Closed
Port 856: Closed
Port 857: Closed
Port 858: Closed
Port 859: Closed
Port 860: Closed
Port 861: Closed
Port 862: Closed
Port 863: Closed
Port 864: Closed
Port 865: Closed
Port 866: Closed
Port 867: Closed
Port 868: Closed
Port 869: Closed
Port 870: Closed
Port 871: Closed
Port 872: Closed
Port 873: Closed
Port 874: Closed
Port 875: Closed
Port 876: Closed
Port 877: Closed
Port 878: Closed
Port 879: Closed
Port 880: Closed
Port 881: Closed
Port 882: Closed
Port 883: Closed
Port 884: Closed
Port 885: Closed
Port 886: Closed
Port 887: Closed
Port 888: Closed
Port 889: Closed
Port 890: Closed
Port 891: Closed
Port 892: Closed
Port 893: Closed
Port 894: Closed
Port 895: Closed
Port 896: Closed
Port 897: Closed
Port 898: Closed
Port 899: Closed
Port 900: Closed
Port 901: Closed
Port 902: Closed
Port 903: Closed
Port 904: Closed
Port 905: Closed
Port 906: Closed
Port 907: Closed
Port 908: Closed
Port 909: Closed
Port 910: Closed
Port 911: Closed
Port 912: Closed
Port 913: Closed
Port 914: Closed
Port 915: Closed
Port 916: Closed
Port 917: Closed
Port 918: Closed
Port 919: Closed
